trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UP,BOLL_LOW,BOLL_WIDTH,OBV,OBV_MA20
2025-07-04,688169.SH,157.96,158.4,154.5,156.18,158.44,-2.26,-1.4264,21331.08,334152.271,,0.0,0.0,0.0,,,,,,0.0,
2025-07-07,688169.SH,156.0,156.18,152.12,153.6,156.18,-2.58,-1.6519,15127.48,232657.313,,-0.2058,-0.0412,-0.3292,,,,,,-15127.48,
2025-07-08,688169.SH,153.6,155.39,153.1,153.95,153.6,0.35,0.2279,16806.35,258883.475,,-0.3368,-0.1003,-0.473,,,,,,1678.869999999999,
2025-07-09,688169.SH,155.15,155.15,149.48,150.0,153.95,-3.95,-2.5658,36492.15,551370.236,,-0.7507,-0.2304,-1.0406,,,,,,-34813.28,
2025-07-10,688169.SH,150.0,151.02,148.2,148.78,150.0,-1.22,-0.8133,25070.28,373649.421,,-1.1637,-0.417,-1.4934,,,,,,-59883.56,
2025-07-11,688169.SH,148.86,151.36,148.02,148.61,148.78,-0.17,-0.1143,30780.1,460573.059,,-1.4876,-0.6311,-1.713,,,,,,-90663.66,
2025-07-14,688169.SH,151.28,166.47,151.28,162.89,148.61,14.28,9.609,90412.16,1447437.594,,-0.5853,-0.622,0.0734,,,,,,-251.5,
2025-07-15,688169.SH,162.15,164.5,161.11,163.7,162.89,0.81,0.4973,49351.06,806971.549,,0.193,-0.459,1.304,,,,,,49099.56,
2025-07-16,688169.SH,163.69,165.8,160.7,161.22,163.7,-2.48,-1.515,31346.35,508996.262,,0.6026,-0.2467,1.6986,,,,,,17753.21,
2025-07-17,688169.SH,161.41,168.77,161.01,166.8,161.22,5.58,3.4611,45701.18,760435.227,,1.3619,0.075,2.5738,,,,,,63454.39,
2025-07-18,688169.SH,167.49,168.88,163.0,163.08,166.8,-3.72,-2.2302,28163.36,462829.835,,1.6445,0.3889,2.5112,,,,,,35291.03,
2025-07-21,688169.SH,162.8,163.5,159.12,160.26,163.08,-2.82,-1.7292,26948.09,431678.633,,1.6222,0.6356,1.9732,,,,,,8342.939999999999,
2025-07-22,688169.SH,160.62,160.97,158.42,159.82,160.26,-0.44,-0.2746,26149.47,417046.058,,1.5511,0.8187,1.4648,,,,,,-17806.530000000002,
2025-07-23,688169.SH,159.82,164.87,159.81,162.21,159.82,2.39,1.4954,35845.13,584354.554,58.4,1.6684,0.9886,1.3596,,,,,,18038.599999999995,
2025-07-24,688169.SH,162.3,162.65,159.78,161.3,162.21,-0.91,-0.561,27605.92,443552.54,56.35,1.6687,1.1246,1.0882,,,,,,-9567.320000000003,
2025-07-25,688169.SH,160.9,167.49,160.66,166.0,161.3,4.7,2.9138,45634.48,748966.653,63.48,2.0249,1.3047,1.4404,,,,,,36067.16,
2025-07-28,688169.SH,166.37,172.5,166.01,168.92,166.0,2.92,1.759,50135.79,852872.092,67.08,2.5138,1.5465,1.9346,,,,,,86202.95000000001,
2025-07-29,688169.SH,168.75,181.88,168.1,179.87,168.92,10.95,6.4824,66997.9,1180856.324,76.46,3.7416,1.9855,3.5122,,,,,,153200.85,
2025-07-30,688169.SH,177.53,179.6,175.7,176.8,179.87,-3.07,-1.7068,32293.0,573518.837,70.4,4.4161,2.4716,3.889,,,,,,120907.85,
2025-07-31,688169.SH,175.96,179.79,172.6,173.36,176.8,-3.44,-1.9457,37654.2,661022.669,64.26,4.6198,2.9013,3.437,161.87,8.6908,179.25,144.49,21.47,83253.65000000001,22259.0
2025-08-01,688169.SH,173.8,176.97,170.52,172.4,173.36,-0.96,-0.5538,26597.47,460056.716,62.62,4.6502,3.2511,2.7982,162.68,8.8867,180.45,144.91,21.85,56656.18000000001,25092.0
2025-08-04,688169.SH,171.13,180.0,170.72,178.27,172.4,5.87,3.4049,40384.66,716968.078,68.0,5.0893,3.6187,2.9412,163.91,9.2644,182.44,145.38,22.61,97040.84000000001,30700.0
2025-08-05,688169.SH,178.35,185.0,178.27,179.1,178.27,0.83,0.4656,37357.23,675325.941,68.69,5.4415,3.9833,2.9164,165.17,9.5437,184.26,146.08,23.12,134398.07,37336.0
2025-08-06,688169.SH,179.35,180.6,177.11,178.46,179.1,-0.64,-0.3573,26395.42,470840.043,67.49,5.6043,4.3075,2.5936,166.59,9.2809,185.15,148.03,22.28,108002.65000000001,44477.0
2025-08-07,688169.SH,179.0,179.97,176.17,177.26,178.46,-1.2,-0.6724,24620.26,437520.852,65.18,5.5724,4.5605,2.0238,168.02,8.561,185.14,150.9,20.38,83382.39000000001,51640.0
2025-08-08,688169.SH,178.28,179.24,176.64,177.02,177.26,-0.24,-0.1354,20129.26,358080.859,64.71,5.4647,4.7413,1.4468,169.44,7.4573,184.35,154.53,17.6,63253.13000000002,59336.0
2025-08-11,688169.SH,178.5,179.9,175.59,178.1,177.02,1.08,0.6101,21166.02,376700.113,65.91,5.4041,4.8739,1.0604,170.2,7.5297,185.26,155.14,17.7,84419.15000000002,63570.0
2025-08-12,688169.SH,178.0,187.78,177.08,181.38,178.1,3.28,1.8417,48971.63,901510.77,69.34,5.5568,5.0105,1.0926,171.08,7.7611,186.6,155.56,18.14,133390.78000000003,67784.0
2025-08-13,688169.SH,181.81,184.38,178.1,179.34,181.38,-2.04,-1.1247,38348.24,693997.238,64.97,5.4504,5.0984,0.704,171.99,7.6053,187.2,156.78,17.69,95042.54000000004,71649.0
2025-08-14,688169.SH,178.36,179.34,175.0,175.86,179.34,-3.48,-1.9404,39024.29,690270.578,58.22,5.0272,5.0842,-0.114,172.44,7.5497,187.54,157.34,17.51,56018.25000000004,71277.0
2025-08-15,688169.SH,176.48,183.6,176.48,182.95,175.86,7.09,4.0316,48843.55,880979.502,65.97,5.204,5.1082,0.1916,173.43,7.5605,188.55,158.31,17.44,104861.80000000005,74755.0
2025-08-18,688169.SH,197.58,211.5,194.21,209.04,182.95,26.09,14.2607,116607.22,2387591.664,80.39,7.3645,5.5594,3.6102,175.87,10.4159,196.7,155.04,23.69,221469.02000000005,85412.0
2025-08-19,688169.SH,208.0,208.21,200.88,206.7,209.04,-2.34,-1.1194,66622.16,1368600.259,77.23,8.7865,6.2048,5.1634,178.22,11.7966,201.81,154.63,26.47,154846.86000000004,94044.0
2025-08-20,688169.SH,204.3,207.7,200.6,204.1,206.7,-2.6,-1.2579,47493.2,966281.407,73.76,9.5932,6.8825,5.4214,180.31,12.5026,205.32,155.3,27.74,107353.66000000005,98510.0
2025-08-21,688169.SH,204.39,210.67,203.68,207.48,204.1,3.38,1.6561,51588.54,1072576.115,75.31,10.3854,7.5831,5.6046,182.62,13.0587,208.74,156.5,28.61,158942.20000000004,106935.0
2025-08-22,688169.SH,206.53,214.41,204.17,212.39,207.48,4.91,2.3665,75046.48,1565058.558,77.41,11.2795,8.3224,5.9142,184.94,14.0346,213.01,156.87,30.36,233988.68000000005,116832.0
2025-08-25,688169.SH,215.0,218.42,208.5,211.78,212.39,-0.61,-0.2872,62415.75,1335460.045,76.54,11.8028,9.0185,5.5686,187.08,14.7154,216.51,157.65,31.46,171572.93000000005,121100.0
2025-08-26,688169.SH,212.68,214.99,207.74,208.5,211.78,-3.28,-1.5488,42985.66,905024.575,71.87,11.8166,9.5781,4.477,188.51,15.3555,219.22,157.8,32.58,128587.27000000005,119869.0
2025-08-27,688169.SH,208.81,222.1,208.0,212.36,208.5,3.86,1.8513,69192.51,1507207.113,73.89,12.0007,10.0626,3.8762,190.29,15.9739,222.24,158.34,33.58,197779.78000000003,123713.0
2025-08-28,688169.SH,213.0,217.75,205.5,211.15,212.36,-1.21,-0.5698,61190.27,1289738.805,72.14,11.9116,10.4324,2.9584,192.18,16.1002,224.38,159.98,33.51,136589.51000000004,126380.0
2025-08-29,688169.SH,211.0,217.49,210.02,214.89,211.15,3.74,1.7713,42513.35,909992.579,74.17,12.0044,10.7468,2.5152,194.31,16.1557,226.62,162.0,33.26,179102.86000000004,132502.0
2025-09-01,688169.SH,213.9,219.8,209.3,212.0,214.89,-2.89,-1.3449,49882.62,1064454.63,69.93,11.7098,10.9394,1.5408,195.99,16.1541,228.3,163.68,32.97,129220.24000000005,134111.0
2025-09-02,688169.SH,210.0,213.87,205.12,207.89,212.0,-4.11,-1.9387,39270.19,820135.231,64.29,11.0177,10.9551,0.1252,197.43,15.8494,229.13,165.73,32.11,89950.05000000005,131889.0
2025-09-03,688169.SH,208.95,215.0,206.03,208.96,207.89,1.07,0.5147,32022.43,673178.041,65.08,10.4352,10.8511,-0.8318,198.96,15.3885,229.74,168.18,30.94,121972.48000000004,132587.0
2025-09-04,688169.SH,208.23,208.23,196.02,202.9,208.96,-6.06,-2.9001,59492.58,1198804.184,57.35,9.3765,10.5562,-2.3594,200.24,14.5298,229.3,171.18,29.03,62479.90000000004,131542.0
2025-09-05,688169.SH,205.0,210.88,202.53,210.0,202.9,7.1,3.4993,42272.85,873784.215,62.91,9.0066,10.2463,-2.4794,201.89,13.5974,229.08,174.7,26.94,104752.75000000003,133617.0
2025-09-08,688169.SH,209.7,213.88,207.45,208.81,210.0,-1.19,-0.5667,46080.42,967667.686,61.47,8.5192,9.9008,-2.7632,203.42,12.4558,228.33,178.51,24.49,58672.33000000003,132330.0
2025-09-09,688169.SH,209.44,212.0,205.03,206.28,208.81,-2.53,-1.2116,28933.82,601071.433,58.39,7.8384,9.4884,-3.3,204.67,11.33,227.33,182.01,22.14,29738.51000000003,127147.0
2025-09-10,688169.SH,206.16,207.88,204.13,206.1,206.28,-0.18,-0.0873,23458.87,482793.032,58.17,7.2013,9.0309,-3.6592,206.01,9.6346,225.28,186.74,18.71,6279.640000000032,122709.0
2025-09-11,688169.SH,205.78,206.5,197.51,201.5,206.1,-4.6,-2.2319,56371.99,1130400.553,52.64,6.2532,8.4754,-4.4444,207.29,6.6581,220.61,193.97,12.85,-50092.34999999996,117403.0
2025-09-12,688169.SH,202.41,204.66,197.0,197.0,201.5,-4.5,-2.2333,47728.36,956775.698,47.85,5.0801,7.7963,-5.4324,207.99,4.2667,216.52,199.46,8.2,-97820.70999999996,107269.0
2025-09-15,688169.SH,198.68,206.49,195.17,202.68,197.0,5.68,2.8832,44317.74,891363.376,53.59,4.5563,7.1483,-5.184,207.67,4.4187,216.51,198.83,8.51,-53502.969999999965,93521.0
