ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,20260703,95.99,100.8,95.51,99.6,95.35,4.25,4.4573,101894.99,1003606.136
688169.SH,20260702,96.13,97.99,95.12,95.35,95.87,-0.52,-0.5424,67060.72,645544.789
688169.SH,20260701,94.97,97.5,92.88,95.87,94.97,0.9,0.9477,61298.53,583910.43
688169.SH,20260630,93.7,95.2,93.0,94.97,93.55,1.42,1.5179,50951.68,480522.116
688169.SH,20260629,91.01,94.65,89.53,93.55,91.59,1.96,2.14,66790.35,618010.151
688169.SH,20260626,95.01,95.94,91.59,91.59,95.94,-4.35,-4.5341,64937.37,606927.887
688169.SH,20260625,92.02,97.67,91.94,95.94,92.49,3.45,3.7301,89218.24,848294.566
688169.SH,20260624,94.89,95.84,92.28,92.49,94.96,-2.47,-2.6011,72032.34,671725.036
688169.SH,20260623,97.52,98.38,94.47,94.96,98.47,-3.51,-3.5645,60183.89,580198.718
688169.SH,20260622,97.04,98.67,93.86,98.47,97.27,1.2,1.2337,89471.12,857949.276
688169.SH,20260618,97.51,99.92,95.93,97.27,97.51,-0.24,-0.2461,67736.75,663052.38
688169.SH,20260617,99.98,100.58,96.8,97.51,100.4,-2.89,-2.8785,82793.88,810892.512
688169.SH,20260616,102.47,102.47,99.8,100.4,102.6,-2.2,-2.1442,64535.93,650610.994
688169.SH,20260615,100.85,104.5,100.68,102.6,101.99,0.61,0.5981,79240.33,809883.812
688169.SH,20260612,101.0,101.99,98.43,101.99,100.24,1.75,1.7458,125632.44,1256684.954
688169.SH,20260611,103.82,105.64,98.81,100.24,105.28,-5.04,-4.7872,94271.27,956166.944
688169.SH,20260610,109.9,111.07,105.13,105.28,111.07,-5.79,-5.2129,63074.15,674914.256
688169.SH,20260609,113.02,114.0,109.8,111.07,112.8,-1.73,-1.5337,55131.63,612003.058
688169.SH,20260608,106.9,115.29,106.5,112.8,108.68,4.12,3.7909,110306.18,1236406.256
688169.SH,20260605,104.21,110.98,102.68,108.68,104.2,4.48,4.2994,87359.01,934361.214
688169.SH,20260604,103.88,105.96,103.28,104.2,104.87,-0.67,-0.6389,42532.34,444668.574
688169.SH,20260603,106.08,107.14,103.8,104.87,106.03,-1.16,-1.094,61371.93,646708.774
688169.SH,20260602,107.98,108.77,103.8,106.03,107.98,-1.95,-1.8059,54600.47,575934.477
688169.SH,20260601,103.69,109.72,103.69,107.98,102.54,5.44,5.3052,95328.09,1024188.557
688169.SH,20260529,111.33,112.0,102.54,102.54,112.0,-9.46,-8.4464,107693.6,1144542.691
688169.SH,20260528,117.01,117.32,110.03,112.0,117.0,-5.0,-4.2735,91904.3,1032965.796
688169.SH,20260527,121.6,122.2,117.0,117.0,121.95,-4.95,-4.059,86086.66,1024514.772
688169.SH,20260526,125.08,127.91,121.29,121.95,125.08,-3.13,-2.5024,82400.9,1022877.01
688169.SH,20260525,125.8,126.71,123.96,125.08,126.82,-1.74,-1.372,74607.31,933480.507
688169.SH,20260522,131.5,131.6,125.88,126.82,130.17,-3.35,-2.5736,97488.2,1251018.843
688169.SH,20260521,128.0,134.48,127.17,130.17,128.25,1.92,1.4971,123679.91,1619188.873
688169.SH,20260520,126.5,130.44,125.13,128.25,127.8,0.45,0.3521,85650.69,1097351.262
688169.SH,20260519,128.61,133.33,127.13,127.8,128.45,-0.65,-0.506,126577.02,1642737.705
688169.SH,20260518,122.0,129.44,121.03,128.45,122.12,6.33,5.1834,147780.42,1854797.574
688169.SH,20260515,116.79,124.98,115.4,122.12,116.41,5.71,4.9051,140698.69,1710145.375
688169.SH,20260514,119.99,120.82,116.31,116.41,120.0,-3.59,-2.9917,67397.6,795449.085
688169.SH,20260513,115.0,121.46,113.91,120.0,115.12,4.88,4.2391,100844.61,1184734.516
688169.SH,20260512,119.8,119.98,115.0,115.12,119.38,-4.26,-3.5684,78702.22,916594.243
688169.SH,20260511,120.88,120.88,118.0,119.38,120.87,-1.49,-1.2327,79058.75,939954.81
688169.SH,20260508,118.85,121.25,117.17,120.87,118.1,2.77,2.3455,87948.01,1053837.84
688169.SH,20260507,117.49,119.3,116.52,118.1,116.73,1.37,1.1736,67612.15,797800.243
688169.SH,20260506,116.55,117.53,114.55,116.73,115.8,0.93,0.8031,63741.56,740465.615
688169.SH,20260430,117.11,118.68,115.28,115.8,117.86,-2.06,-1.7478,56635.81,660770.065
688169.SH,20260429,117.58,118.2,116.52,117.86,117.17,0.69,0.5889,44440.32,522356.337
688169.SH,20260428,118.5,119.89,116.86,117.17,118.68,-1.51,-1.2723,54926.59,650344.309
688169.SH,20260427,115.5,120.82,115.5,118.68,115.43,3.25,2.8156,71023.34,842924.889
688169.SH,20260424,118.11,118.11,113.4,115.43,118.14,-2.71,-2.2939,80969.03,930798.533
688169.SH,20260423,122.92,124.88,117.84,118.14,116.76,1.38,1.1819,106206.87,1283734.303
688169.SH,20260422,117.7,118.02,115.62,116.76,118.55,-1.79,-1.5099,46134.75,537120.711
688169.SH,20260421,120.21,120.3,116.45,118.55,120.21,-1.66,-1.3809,57595.27,680739.512
688169.SH,20260420,111.27,122.34,111.0,120.21,111.27,8.94,8.0345,115790.15,1356595.154
688169.SH,20260417,111.33,113.49,110.3,111.27,111.95,-0.68,-0.6074,45984.78,514017.394
688169.SH,20260416,113.62,114.77,110.0,111.95,113.62,-1.67,-1.4698,80979.98,905037.845
688169.SH,20260415,113.42,115.74,113.2,113.62,113.42,0.2,0.1763,40908.39,468030.196
688169.SH,20260414,113.98,114.98,112.15,113.42,112.89,0.53,0.4695,42969.08,484659.719
688169.SH,20260413,115.2,115.55,112.32,112.89,115.96,-3.07,-2.6475,45909.34,520436.067
688169.SH,20260410,114.8,117.67,114.76,115.96,114.0,1.96,1.7193,35123.76,409743.183
688169.SH,20260409,117.89,117.89,113.98,114.0,118.83,-4.83,-4.0646,43708.08,504518.417
688169.SH,20260408,117.6,118.89,115.88,118.83,114.1,4.73,4.1455,37873.61,446004.621
688169.SH,20260407,114.58,115.62,113.65,114.1,114.8,-0.7,-0.6098,26485.69,303113.293
688169.SH,20260403,119.18,119.18,114.42,114.8,118.7,-3.9,-3.2856,35655.28,412702.156
688169.SH,20260402,120.14,120.48,118.3,118.7,120.56,-1.86,-1.5428,21412.09,255246.38
688169.SH,20260401,121.3,121.88,119.81,120.56,119.98,0.58,0.4834,27808.78,335993.45
688169.SH,20260331,122.0,123.0,119.8,119.98,121.71,-1.73,-1.4214,23074.41,279313.841
688169.SH,20260330,122.0,123.86,121.26,121.71,123.24,-1.53,-1.2415,23643.99,288906.125
688169.SH,20260327,121.4,123.86,121.1,123.24,122.5,0.74,0.6041,19620.16,241193.352
688169.SH,20260326,125.11,125.79,122.11,122.5,124.88,-2.38,-1.9058,17319.83,214319.363
688169.SH,20260325,123.36,125.2,123.0,124.88,123.12,1.76,1.4295,22178.9,275908.075
688169.SH,20260324,122.61,123.5,121.37,123.12,122.12,1.0,0.8189,26723.87,327268.75
688169.SH,20260323,124.02,124.21,119.4,122.12,125.68,-3.56,-2.8326,50738.95,616948.739
688169.SH,20260320,126.12,128.11,125.41,125.68,126.05,-0.37,-0.2935,25095.64,317688.81
688169.SH,20260319,125.9,127.08,124.77,126.05,127.79,-1.74,-1.3616,34273.19,431114.671
688169.SH,20260318,129.0,129.48,127.31,127.79,129.38,-1.59,-1.2289,25989.86,332479.189
688169.SH,20260317,128.61,130.15,128.6,129.38,128.77,0.61,0.4737,28352.56,367068.054
688169.SH,20260316,130.37,131.42,127.6,128.77,132.77,-4.0,-3.0127,59991.63,771558.448
688169.SH,20260313,133.67,133.79,129.51,132.77,134.38,-1.61,-1.1981,60295.08,791496.44
688169.SH,20260312,134.39,135.8,133.13,134.38,134.5,-0.12,-0.0892,38079.97,510640.914
688169.SH,20260311,133.72,135.67,133.21,134.5,133.72,0.78,0.5833,23645.37,317972.729
688169.SH,20260310,132.8,134.4,132.13,133.72,131.2,2.52,1.9207,25911.18,345664.25
688169.SH,20260309,133.02,133.03,128.5,131.2,134.63,-3.43,-2.5477,37689.03,492081.803
